Masses	Intensities
30.481	1.3076e0
30.519	1.0968e0
30.556	1.1447e0
30.593	1.0473e0
30.630	1.3648e0
30.667	1.1186e0
30.704	1.2465e0
30.741	1.2115e0
30.778	1.2888e0
30.815	1.3013e0
30.852	1.6311e0
30.889	1.8087e0
30.926	2.1575e0
30.963	2.2650e0
31.000	2.4056e0
31.037	2.3569e0
31.074	2.6352e0
31.111	2.7143e0
31.148	2.6969e0
31.185	2.2356e0
31.222	1.5715e0
31.259	1.3101e0
31.296	1.2386e0
31.333	1.2764e0
31.370	1.4742e0
31.407	1.5451e0
31.444	1.4950e0
31.481	1.5430e0
31.519	1.5012e0
31.556	1.6218e0
31.593	1.6025e0
31.630	2.0124e0
31.667	2.3459e0
31.704	3.1533e0
31.741	5.3251e0
31.778	8.3578e0
31.815	9.9987e0
31.852	1.4354e1
31.889	1.5625e1
31.926	2.1088e1
31.963	2.5197e1
32.000	2.8532e1
32.037	2.8553e1
32.074	2.9334e1
32.111	2.9726e1
32.148	2.3937e1
32.185	1.4223e1
32.222	6.0013e0
32.259	3.3409e0
32.296	3.0354e0
32.333	2.4803e0
32.370	2.9054e0
32.407	3.0354e0
32.444	3.0460e0
32.481	3.8139e0
32.519	3.9289e0
32.556	3.9355e0
32.593	4.1362e0
32.630	3.6577e0
32.667	3.0549e0
32.704	3.3488e0
32.741	3.1232e0
32.778	3.3922e0
32.815	3.1493e0
32.852	3.7698e0
32.889	4.2207e0
32.926	5.5712e0
32.963	5.5082e0
33.000	5.7086e0
33.037	5.5912e0
33.074	6.2573e0
33.111	6.3567e0
33.148	5.7139e0
33.185	6.3621e0
33.222	6.4781e0
33.259	8.0064e0
33.296	9.3222e0
33.333	1.0514e1
33.370	1.2669e1
33.407	1.4846e1
33.444	1.8007e1
33.481	1.8392e1
33.519	2.1201e1
33.556	2.2479e1
33.593	2.2537e1
33.630	2.1503e1
33.667	1.7049e1
33.704	1.4178e1
33.741	1.2505e1
33.778	1.1805e1
33.815	1.3037e1
33.852	1.5404e1
33.889	1.6526e1
33.926	1.8348e1
33.963	2.1441e1
34.000	2.2513e1
34.037	2.4223e1
34.074	2.9748e1
34.111	2.9425e1
34.148	3.3758e1
34.185	3.9334e1
34.222	4.2594e1
34.259	5.0237e1
34.296	5.8585e1
34.333	6.7484e1
34.370	7.9129e1
34.407	9.6055e1
34.444	1.1257e2
34.481	1.3535e2
34.519	1.6016e2
34.556	2.0157e2
34.593	2.4952e2
34.630	3.1703e2
34.667	4.1609e2
34.704	5.8004e2
34.741	8.0427e2
34.778	9.9409e2
34.815	1.1287e3
34.852	1.3370e3
34.889	1.6132e3
34.926	1.8853e3
34.963	2.0561e3
35.000	2.1416e3
35.037	2.1023e3
35.074	1.9541e3
35.111	1.8019e3
35.148	1.4445e3
35.185	9.2988e2
35.222	4.7916e2
35.259	2.4992e2
35.296	1.5387e2
35.333	1.0626e2
35.370	7.8444e1
35.407	6.1525e1
35.444	4.9030e1
35.481	4.1045e1
35.519	3.6627e1
35.556	3.2824e1
35.593	3.1036e1
35.630	3.0732e1
35.667	4.0506e1
35.704	6.7940e1
35.741	1.2262e2
35.778	1.7257e2
35.815	1.9681e2
35.852	2.6322e2
35.889	3.7299e2
35.926	4.7757e2
35.963	5.7197e2
36.000	6.4827e2
36.037	6.8215e2
36.074	6.7887e2
36.111	6.5170e2
36.148	5.1245e2
36.185	3.1816e2
36.222	1.1657e2
36.259	5.4828e1
36.296	3.5875e1
36.333	3.1647e1
36.370	3.2791e1
36.407	3.5980e1
36.444	3.8532e1
36.481	4.4742e1
36.519	5.2736e1
36.556	6.5384e1
36.593	7.7303e1
36.630	9.8019e1
36.667	1.3039e2
36.704	1.8871e2
36.741	2.5615e2
36.778	3.0028e2
36.815	3.3606e2
36.852	4.1551e2
36.889	5.1181e2
36.926	5.9063e2
36.963	6.2347e2
37.000	6.3732e2
37.037	6.1823e2
37.074	5.7553e2
37.111	5.2111e2
37.148	3.9488e2
37.185	2.2051e2
37.222	1.0660e2
37.259	5.8307e1
37.296	3.5980e1
37.333	2.6728e1
37.370	2.0220e1
37.407	1.6044e1
37.444	1.2887e1
37.481	1.1257e1
37.519	9.1805e0
37.556	8.8554e0
37.593	8.5463e0
37.630	9.7403e0
37.667	1.4541e1
37.704	2.5653e1
37.741	4.5583e1
37.778	5.7261e1
37.815	6.6899e1
37.852	9.4503e1
37.889	1.3326e2
37.926	1.6996e2
37.963	1.9903e2
38.000	2.2264e2
38.037	2.4089e2
38.074	2.4111e2
38.111	2.2116e2
38.148	1.7230e2
38.185	1.0475e2
38.222	3.6306e1
38.259	1.3789e1
38.296	7.7942e0
38.333	5.2710e0
38.370	3.7330e0
38.407	2.9470e0
38.444	2.5936e0
38.481	2.4406e0
38.519	2.2372e0
38.556	2.0723e0
38.593	2.0090e0
38.630	2.3607e0
38.667	2.9022e0
38.704	3.1189e0
38.741	4.0434e0
38.778	6.3320e0
38.815	8.6552e0
38.852	9.5920e0
38.889	1.2378e1
38.926	1.5042e1
38.963	1.9322e1
39.000	2.1334e1
39.037	2.1472e1
39.074	2.2372e1
39.111	2.1765e1
39.148	2.0751e1
39.185	1.6747e1
39.222	1.0111e1
39.259	5.1048e0
39.296	2.2083e0
39.333	1.7343e0
39.370	1.2909e0
39.407	1.0322e0
39.444	1.0631e0
39.481	1.1522e0
39.519	1.1315e0
39.556	1.0479e0
39.593	1.0332e0
39.630	1.0179e0
39.667	1.0527e0
39.704	1.1847e0
39.741	1.6859e0
39.778	2.0524e0
39.815	2.8762e0
39.852	2.9470e0
39.889	4.1169e0
39.926	5.3682e0
39.963	6.9213e0
40.000	7.0686e0
40.037	8.6841e0
40.074	9.1511e0
40.111	9.1853e0
40.148	8.6988e0
40.185	6.0700e0
40.222	3.3307e0
40.259	2.0178e0
40.296	1.2776e0
40.333	1.0765e0
40.370	1.1335e0
40.407	1.0313e0
40.444	1.2528e0
40.481	1.2110e0
40.519	1.0840e0
40.556	1.1545e0
40.593	1.1807e0
40.630	1.2581e0
40.667	1.5399e0
40.704	1.5812e0
40.741	2.1286e0
40.778	3.4867e0
40.815	5.1810e0
40.852	7.2421e0
40.889	8.4261e0
